"","threshold","nn","bt","max"
"1",100,0.0568927789934354,0.387308533916849,0.155361050328228
"2",99,0.0984682713347921,0.457330415754923,0.402625820568928
"3",98,0.107221006564551,0.49671772428884,0.446389496717724
"4",97,0.118161925601751,0.527352297592998,0.490153172866521
"5",96,0.146608315098468,0.562363238512035,0.514223194748359
"6",95,0.181619256017505,0.582056892778993,0.538293216630197
"7",94,0.199124726477024,0.612691466083151,0.553610503282276
"8",93,0.218818380743982,0.636761487964989,0.573304157549234
"9",92,0.229759299781182,0.645514223194748,0.597374179431072
"10",91,0.238512035010941,0.658643326039387,0.608315098468271
"11",90,0.242888402625821,0.663019693654267,0.634573304157549
"12",89,0.25164113785558,0.671772428884026,0.652078774617068
"13",88,0.264770240700219,0.680525164113786,0.658643326039387
"14",87,0.269146608315098,0.691466083150985,0.671772428884026
"15",86,0.277899343544858,0.700218818380744,0.678336980306346
"16",85,0.293216630196937,0.708971553610503,0.684901531728665
"17",84,0.328227571115974,0.711159737417943,0.693654266958424
"18",83,0.352297592997812,0.722100656455142,0.695842450765864
"19",82,0.367614879649891,0.733041575492341,0.698030634573304
"20",81,0.37199124726477,0.739606126914661,0.700218818380744
"21",80,0.402625820568928,0.757111597374179,0.706783369803063
"22",79,0.424507658643326,0.761487964989059,0.711159737417943
"23",78,0.439824945295405,0.763676148796499,0.719912472647702
"24",77,0.455142231947484,0.774617067833698,0.724288840262582
"25",76,0.470459518599562,0.781181619256017,0.733041575492341
"26",75,0.477024070021882,0.787746170678337,0.739606126914661
"27",74,0.50109409190372,0.794310722100656,0.741794310722101
"28",73,0.507658643326039,0.803063457330416,0.74398249452954
"29",72,0.518599562363239,0.814004376367615,0.7527352297593
"30",71,0.538293216630197,0.814004376367615,0.765864332603939
"31",70,0.549234135667396,0.824945295404814,0.765864332603939
"32",69,0.557986870897155,0.831509846827133,0.772428884026258
"33",68,0.566739606126915,0.835886214442013,0.789934354485777
"34",67,0.577680525164114,0.844638949671772,0.796498905908096
"35",66,0.582056892778993,0.849015317286652,0.796498905908096
"36",65,0.586433260393873,0.855579868708972,0.798687089715536
"37",64,0.599562363238512,0.857768052516411,0.805251641137856
"38",63,0.608315098468271,0.864332603938731,0.809628008752735
"39",62,0.610503282275711,0.87308533916849,0.814004376367615
"40",61,0.614879649890591,0.87746170678337,0.822757111597374
"41",60,0.62363238512035,0.87964989059081,0.831509846827133
"42",59,0.636761487964989,0.881838074398249,0.842450765864333
"43",58,0.643326039387308,0.886214442013129,0.846827133479212
"44",57,0.652078774617068,0.886214442013129,0.853391684901532
"45",56,0.667396061269147,0.890590809628009,0.859956236323851
"46",55,0.676148796498906,0.894967177242888,0.866520787746171
"47",54,0.687089715536105,0.899343544857768,0.87746170678337
"48",53,0.693654266958424,0.908096280087527,0.881838074398249
"49",52,0.700218818380744,0.914660831509847,0.886214442013129
"50",51,0.700218818380744,0.923413566739606,0.892778993435449
"51",50,0.706783369803063,0.923413566739606,0.897155361050328
"52",49,0.715536105032823,0.929978118161926,0.899343544857768
"53",48,0.722100656455142,0.936542669584245,0.901531728665208
"54",47,0.739606126914661,0.936542669584245,0.908096280087527
"55",46,0.74617067833698,0.940919037199125,0.912472647702407
"56",45,0.74835886214442,0.943107221006565,0.912472647702407
"57",44,0.75054704595186,0.949671772428884,0.925601750547046
"58",43,0.7527352297593,0.949671772428884,0.925601750547046
"59",42,0.761487964989059,0.951859956236324,0.925601750547046
"60",41,0.768052516411379,0.954048140043764,0.925601750547046
"61",40,0.776805251641138,0.954048140043764,0.934354485776805
"62",39,0.785557986870897,0.958424507658643,0.934354485776805
"63",38,0.794310722100656,0.960612691466083,0.938730853391685
"64",37,0.798687089715536,0.964989059080963,0.945295404814004
"65",36,0.800875273522976,0.971553610503282,0.949671772428884
"66",35,0.809628008752735,0.978118161925602,0.954048140043764
"67",34,0.816192560175055,0.980306345733042,0.958424507658643
"68",33,0.829321663019694,0.980306345733042,0.962800875273523
"69",32,0.849015317286652,0.982494529540481,0.964989059080963
"70",31,0.853391684901532,0.984682713347921,0.969365426695842
"71",30,0.853391684901532,0.989059080962801,0.973741794310722
"72",29,0.853391684901532,0.991247264770241,0.975929978118162
"73",28,0.859956236323851,0.991247264770241,0.978118161925602
"74",27,0.864332603938731,0.991247264770241,0.980306345733042
"75",26,0.87527352297593,0.991247264770241,0.982494529540481
"76",25,0.881838074398249,0.991247264770241,0.984682713347921
"77",24,0.888402625820569,0.993435448577681,0.986870897155361
"78",23,0.894967177242888,0.99562363238512,0.986870897155361
"79",22,0.897155361050328,0.99562363238512,0.989059080962801
"80",21,0.901531728665208,0.99562363238512,0.989059080962801
"81",20,0.905908096280088,0.99562363238512,0.989059080962801
"82",19,0.912472647702407,0.99562363238512,0.991247264770241
"83",18,0.914660831509847,0.99781181619256,0.991247264770241
"84",17,0.927789934354486,0.99781181619256,0.99781181619256
"85",16,0.940919037199125,0.99781181619256,0.99781181619256
"86",15,0.947483588621444,0.99781181619256,0.99781181619256
"87",14,0.956236323851203,1,0.99781181619256
"88",13,0.958424507658643,1,0.99781181619256
"89",12,0.960612691466083,1,0.99781181619256
"90",11,0.967177242888403,1,0.99781181619256
"91",10,0.971553610503282,1,1
"92",9,0.975929978118162,1,1
"93",8,0.975929978118162,1,1
"94",7,0.980306345733042,1,1
"95",6,0.984682713347921,1,1
"96",5,0.989059080962801,1,1
"97",4,0.993435448577681,1,1
"98",3,0.993435448577681,1,1
"99",2,0.993435448577681,1,1
"100",1,1,1,1
